,station_0,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,station_13,station_14,station_15,station_16,station_17,station_18
station_0,0.0,7.7,10.9,5.5,6.3,9.3,4.6,5.2,8.6,2.3,5.3,5.5,2.5,5.1,1.1,1.8,8.6,4.7,1.3
station_1,7.7,0.0,17.7,10.7,11.5,16.1,9.9,12.1,15.4,10.4,10.5,10.7,9.6,4.2,6.7,6.0,13.8,10.0,8.7
station_2,11.1,18.2,0.0,9.5,10.3,2.9,8.1,6.2,6.9,8.8,9.3,9.5,9.3,17.1,11.6,12.3,8.6,8.7,11.4
station_3,6.4,11.8,9.3,0.0,0.8,7.8,3.6,2.2,6.3,4.3,4.3,0.8,4.9,10.7,6.9,7.6,3.9,3.6,5.0
station_4,7.3,12.8,10.1,0.8,0.0,8.6,4.6,3.0,7.1,5.1,5.2,1.6,6.6,11.6,7.8,8.6,4.7,4.6,6.0
station_5,9.7,16.8,1.5,8.1,9.0,0.0,6.7,4.8,5.5,7.4,7.9,8.1,7.9,15.7,10.2,11.0,7.1,7.4,10.0
station_6,4.6,10.1,7.9,1.4,2.2,6.3,0.0,2.2,5.5,2.5,1.2,1.4,2.1,9.0,5.1,5.9,4.5,0.6,3.3
station_7,5.2,12.3,5.9,3.6,4.4,4.3,2.2,0.0,3.5,2.9,3.4,3.6,3.4,11.1,5.7,6.4,3.1,2.8,5.5
station_8,8.6,15.6,7.1,6.9,7.8,5.6,5.5,3.5,0.0,6.2,6.7,6.9,6.7,14.5,9.0,9.8,2.9,6.2,8.8
station_9,2.3,10.7,8.5,3.9,4.6,6.9,2.5,2.9,6.2,0.0,3.6,3.9,2.9,6.9,2.8,3.6,5.2,3.1,1.8
station_10,5.3,10.7,10.4,1.3,1.4,8.8,2.5,3.4,7.6,5.0,0.0,2.0,4.6,9.6,5.7,6.5,5.1,2.6,4.0
station_11,5.9,13.0,8.5,4.3,5.1,6.9,2.9,1.4,5.5,3.6,4.1,0.0,4.1,11.8,6.4,7.1,3.1,3.5,6.2
station_12,2.5,9.8,9.0,3.5,4.3,7.5,2.1,3.4,6.7,2.9,3.3,3.5,0.0,7.1,3.0,3.8,5.7,2.7,1.3
station_13,5.1,4.2,16.5,9.6,10.4,15.0,8.7,10.9,14.2,6.9,9.4,9.6,8.5,0.0,4.1,3.4,12.7,8.8,7.6
station_14,1.1,6.7,11.4,6.0,6.8,9.8,5.1,5.7,9.0,2.8,5.7,6.0,3.0,4.1,0.0,0.8,9.0,5.2,1.8
station_15,1.8,6.0,12.1,6.7,7.5,10.5,5.9,6.4,9.8,3.6,6.5,6.7,3.8,3.4,0.8,0.0,9.8,6.0,2.5
station_16,7.6,14.6,8.3,6.0,6.7,6.7,4.6,3.1,2.9,5.2,5.7,6.0,5.7,13.5,8.1,8.8,0.0,5.1,7.9
station_17,5.8,11.4,9.3,0.8,1.6,7.7,3.1,2.2,6.3,4.3,0.6,0.8,5.2,10.2,6.3,7.1,3.9,0.0,4.6
station_18,1.3,9.0,11.1,4.2,5.0,9.6,3.3,5.5,8.8,1.8,4.0,4.2,1.3,5.9,1.8,2.5,7.3,3.4,0.0
